Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
ID2656,2656,56,173,996.9768786,784.8439306,0,0,0,7.420755373,1,,58996,58996,58996,58996,1.02E+07,0,0.966629897,Infinity,-0.130095129,0.005655367,8.266027134,6.903903542,-0.001213921,1.197297599,173,60,0.603883921,0.927613941,4.561715528
ID2657,2657,57,307,1140.788274,165.5374593,0,0,0,9.885400096,1,,48759,48759,48759,48759,1.50E+07,0,1,Infinity,0.064809602,-0.0126683,13.38483004,7.65636405,-0.086870623,1.748196657,307,80,0.60279309,0.953416149,4.565841164
ID2658,2658,,178,415.3483146,793.1011236,0,0,0,7.527227892,1,,21629,21629,21629,21629,3849962,0,0.785036241,Infinity,-0.024264093,-0.019024574,8.259364242,7.001189275,1.457148971,1.179708749,178,66,0.51350183,0.910485934,4.946909147
ID2659,2659,58,350,489.8514286,632.6714286,0,0,0,10.55502061,1,,39549,39549,39549,39549,1.38E+07,0,1,Infinity,-0.0830054,0.020499526,15.80295774,7.241281911,-0.202430037,2.182342566,350,98,0.457958113,0.895140665,5.238320341
ID2660,2660,59,251,494.4462151,465.1832669,0,0,0,8.938444016,1,,55934,55934,55934,55934,1.40E+07,0,1,Infinity,-0.092191076,0.159486106,11.27917853,7.522117563,-1.323978602,1.499468526,251,70,0.643705923,0.954372624,4.418360822
ID2661,2661,60,204,825.1029412,384.3578431,0,0,0,8.058239062,1,,15493,15493,15493,15493,3160572,0,1,Infinity,0.049135887,-0.015904305,10.14239955,6.331562916,2.232079009,1.601879297,204,70,0.523171348,0.916853933,4.900980294
ID2662,2662,61,265,397.6490566,824.8188679,0,0,0,9.184341013,1,,53893,53893,53893,53893,1.43E+07,0,1,Infinity,-0.129043715,-0.041517141,11.08982845,7.684948888,2.449756844,1.443058193,265,76,0.576538818,0.934744268,4.668642888
ID2663,2663,62,183,304.6229508,187.557377,0,0,0,7.63221522,1,,26249,26249,26249,26249,4803567,0,1,Infinity,-0.053089897,-0.023734163,9.021591836,6.558377111,0.917598803,1.375582966,183,66,0.527926038,0.908188586,4.878860388
ID2664,2664,63,250,385.676,803.22,0,0,0,8.920620581,1,,39049,39049,39049,39049,9762250,0,0.990007951,Infinity,0.018619708,0.002135372,11.86957785,6.765542021,1.934825541,1.754416396,250,78,0.516369601,0.912408759,4.93315315
ID2665,2665,64,168,647.9761905,512.6011905,0,0,0,7.312732791,1,,42639,42639,42639,42639,7163352,0,1,Infinity,-0.062879585,0.037463061,8.795805001,6.266425096,1.770720948,1.403640013,168,64,0.515417545,0.898395722,4.937707199
ID2666,2666,65,184,49.1576087,311.2717391,0,0,0,7.653039857,1,,18064,18064,18064,18064,3323776,0,1,Infinity,-0.087453712,0.079320188,8.490264332,7.013241736,2.583956041,1.210604832,184,62,0.601512017,0.93164557,4.570700641
ID2667,2667,66,318,484.2075472,418.9056604,0,0,0,10.0609415,1,,22173,22173,22173,22173,7051014,0,0.928394382,Infinity,-0.155892387,0.049919764,15.1798096,6.649283676,-0.437812637,2.282924047,318,92,0.472129709,0.912482066,5.159103818
ID2668,2668,67,337,687.5400593,588.735905,0,0,0,10.35714399,1,,11937,11937,11937,11937,4022769,0,1,Infinity,-0.038992512,0.090159452,16.68546249,6.298462294,-1.126167463,2.649132711,337,100,0.42348669,0.876462939,5.447347107
ID2669,2669,68,389,576.0462725,627.6735219,0,0,0,11.12755794,1,,36002,36002,36002,36002,1.40E+07,0,1,Infinity,-0.140148505,-0.255495873,20.27309154,6.444911979,-0.032777572,3.145596341,389,104,0.451952493,0.889142857,5.273009316
ID2670,2670,69,281,228.5729537,132.7651246,0,0,0,9.457540802,1,,57508,57508,57508,57508,1.62E+07,0,1,Infinity,-0.063492467,0.124223329,15.68856354,6.111724443,1.464300024,2.56696186,281,82,0.525156178,0.922824302,4.891709887
ID2671,2671,70,301,358.5780731,910.1594684,0,0,0,9.788323439,1,,31403,31403,31403,31403,9452303,0,0.963266302,Infinity,-0.097021974,-0.196779257,13.854678,7.221399554,-1.407959744,1.918558569,301,82,0.562533842,0.934782609,4.726401425
ID2672,2672,729,139,763.7625899,533.3165468,0,0,0,6.65169709,1,,12461,12461,12461,12461,1732079,0,1,Infinity,0.105909746,0.030726278,8.657926397,5.171372008,0.776149543,1.674202974,139,56,0.556991555,0.929765886,4.749858006
ID2673,2673,72,166,1074.704819,747.6506024,0,0,0,7.269074295,1,,17582,17582,17582,17582,2918612,0,0.991585643,Infinity,-0.0297447,0.045701849,9.647255653,5.562720203,2.564881982,1.73426944,166,62,0.54266845,0.924791086,4.812133259
