Specie,CellDensity,Day,N,Condition,ID,Nitrite
PY1,10^5,15.95833333,2,Cat+,2,0.99017164
PY1,10^5,15.95833333,2,Cat+,3,0.946448201
PY1,10^5,15.95833333,2,Cat+,4,0.890800187
PY1,10^5,15.95833333,2,Cat+,5,0.874900755
PY1,10^5,15.95833333,2,Cat+,6,0.972781636
PY1,10^5,15.95833333,2,Cat+,7,0.978743923
PY1,10^5,15.95833333,2,Cat+,8,0.909680763
PY1,10^5,15.95833333,2,Cat+,9,0.93203934
PY1,10^5,15.95833333,2,Cat+,10,1
PY1,10^5,15.95833333,2,Cat+,11,0.92657391
PY1,10^5,15.95833333,2,Cat+,12,0.914152479
PY1,10^5,15.95833333,3,Cat-,1,0.040198548
PY1,10^5,15.95833333,3,Cat-,2,0.031733167
PY1,10^5,15.95833333,3,Cat-,3,0.048165964
PY1,10^5,15.95833333,3,Cat-,4,0.068084506
PY1,10^5,15.95833333,3,Cat-,5,0.030239277
PY1,10^5,15.95833333,3,Cat-,6,0.038704657
PY1,10^5,15.95833333,3,Cat-,7,0.026753532
PY1,10^5,15.95833333,3,Cat-,8,0.031733167
PY1,10^5,15.95833333,3,Cat-,9,0.034222985
PY1,10^5,15.95833333,3,Cat-,10,0.025259641
PY1,10^5,15.95833333,3,Cat-,11,0.026255568
PY1,10^5,15.95833333,3,Cat-,12,0.028745386
PY1,10^5,15.95833333,3,Cat+,1,1
PY1,10^5,15.95833333,3,Cat+,2,0.955953508
PY1,10^5,15.95833333,3,Cat+,3,0.947488127
PY1,10^5,15.95833333,3,Cat+,4,0.998778373
PY1,10^5,15.95833333,3,Cat+,5,0.939022747
PY1,10^5,15.95833333,3,Cat+,6,0.918108278
PY1,10^5,15.95833333,3,Cat+,7,0.90565919
PY1,10^5,15.95833333,3,Cat+,8,0.894703992
PY1,10^5,15.95833333,3,Cat+,9,0.890720283
PY1,10^5,15.95833333,3,Cat+,10,1
PY1,10^5,15.95833333,3,Cat+,11,0.943504419
PY1,10^5,15.95833333,3,Cat+,12,0.93802682
PY1,10^3,16.58333333,1,Cat-,1,0
PY1,10^3,16.58333333,1,Cat-,2,0
PY1,10^3,16.58333333,1,Cat-,3,0
PY1,10^3,16.58333333,1,Cat-,4,0.020161604
PY1,10^3,16.58333333,1,Cat-,5,0
PY1,10^3,16.58333333,1,Cat-,6,0
PY1,10^3,16.58333333,1,Cat-,7,0
PY1,10^3,16.58333333,1,Cat-,8,0
PY1,10^3,16.58333333,1,Cat-,9,0
PY1,10^3,16.58333333,1,Cat-,10,0
PY1,10^3,16.58333333,1,Cat-,11,0
PY1,10^3,16.58333333,1,Cat-,12,0
PY1,10^3,16.58333333,1,Cat+,1,0
PY1,10^3,16.58333333,1,Cat+,2,0
PY1,10^3,16.58333333,1,Cat+,3,0
PY1,10^3,16.58333333,1,Cat+,4,0
PY1,10^3,16.58333333,1,Cat+,5,0
PY1,10^3,16.58333333,1,Cat+,6,0
PY1,10^3,16.58333333,1,Cat+,7,0
PY1,10^3,16.58333333,1,Cat+,8,0
PY1,10^3,16.58333333,1,Cat+,9,0
PY1,10^3,16.58333333,1,Cat+,10,0
PY1,10^3,16.58333333,1,Cat+,11,0
PY1,10^3,16.58333333,1,Cat+,12,0
PY1,10^3,16.58333333,2,Cat-,1,0
PY1,10^3,16.58333333,2,Cat-,2,0
